Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2020,,,,,,,,1,297,2,036,3,033,3,009,2,268
2021,3,602,3,767,4,027,3,969,2,844,2,928,1,246,2,740,7,085,6,807,6,157,2,824
2022,4,607,6,410,5,643,6,785,5,978,5,072,2,726,4,622,10,412,7,700,7,945,4,514
2023
