User Category,Month,User cost center name,Billing code - description,B/W print (A4),B/W copy (A4),Color print (A4),Color copy (A4),One Color print (A4),One Color copy (A4),One Color print (A3),One Color copy (A3),Local B/W print (A4),Local color print (A4),B/W print (A3),B/W copy (A3),Color print (A3),Color copy (A3),Local copy (A4),B/W A3,Color A3,B/W A4,Color A/4,B/W pages,Color pages,Total
Staff,September 2022,affiliate,administrator,3176,5,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3181,24,3181,24,3205
Faculty & Researcher,September 2022,affiliate,faculty,274,0,2275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,2275,274,2275,2549
Faculty & Researcher,September 2022,affiliate,faculty,1255,100,361,0,0,0,0,0,0,0,0,0,45,0,0,0,45,1355,361,1355,406,1761
Faculty & Researcher,September 2022,affiliate,faculty,355,1068,10,318,0,0,0,0,0,0,0,0,0,0,0,0,0,1423,328,1423,328,1751
Faculty & Researcher,September 2022,affiliate,faculty,1509,0,210,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1509,210,1510,210,1720
Staff,September 2022,affiliate,administrator,248,46,1236,8,0,0,0,0,0,0,0,0,0,0,0,0,0,294,1244,294,1244,1538
Staff,September 2022,affiliate,administrator,124,0,1396,0,0,0,0,0,0,0,5,0,5,0,0,5,5,124,1396,129,1401,1530
Others,September 2022,affiliate,--Unknown billing code--,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1375,0,1375,0,1375
Faculty & Researcher,September 2022,affiliate,faculty,678,0,597,0,0,0,0,0,0,0,6,0,2,0,0,6,2,678,597,684,599,1283
Staff,September 2022,affiliate,administrator,1014,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014,228,1014,228,1242
Faculty & Researcher,September 2022,affiliate,adjunct faculty,539,469,203,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1008,232,1008,232,1240
Student,September 2022,student,degree,595,0,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,556,595,556,1151
Staff,September 2022,affiliate,ad_contingent,7,405,4,711,0,0,0,0,0,0,0,0,0,0,0,0,0,412,715,412,715,1127
Staff,September 2022,affiliate,ad_contingent,247,0,863,0,0,0,0,0,0,0,1,0,2,0,0,1,2,247,863,248,865,1113
Faculty & Researcher,September 2022,affiliate,faculty,1085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1085,0,1085,0,1085
Student,September 2022,student,degree,1034,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1034,39,1034,39,1073
Staff,September 2022,affiliate,administrator,14,0,995,5,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1000,14,1000,1014
Faculty & Researcher,September 2022,affiliate,researcher,228,0,783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,783,228,783,1011
Staff,September 2022,affiliate,contractor,0,0,12,977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,989,0,989,989
Faculty & Researcher,September 2022,affiliate,researcher,982,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,983,6,983,6,989
Student,September 2022,student,degree,24,0,887,0,0,0,0,0,0,0,0,0,77,0,0,0,77,24,887,24,964,988
Staff,September 2022,affiliate,administrator,127,0,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,840,127,840,967
Faculty & Researcher,September 2022,affiliate,faculty,759,62,35,45,0,0,0,0,0,0,0,0,0,0,0,0,0,821,80,821,80,901
Staff,September 2022,affiliate,contractor,580,160,123,0,0,0,0,0,0,0,11,0,18,0,0,11,18,740,123,751,141,892
Staff,September 2022,affiliate,contractor,0,164,0,718,0,0,0,0,0,0,0,0,0,0,0,0,0,164,718,164,718,882
Faculty & Researcher,September 2022,affiliate,faculty,275,0,563,23,0,0,0,0,0,0,0,0,0,0,0,0,0,275,586,275,586,861
Student,September 2022,student,degree,401,0,455,0,0,0,0,0,0,0,0,0,5,0,0,0,5,401,455,401,460,861
Student,September 2022,student,degree,50,780,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,830,0,830,5,835
Student,September 2022,student,degree,773,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,773,56,773,56,829
Student,September 2022,student,degree,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825,0,825,0,825
Faculty & Researcher,September 2022,affiliate,faculty,413,0,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413,410,413,410,823
Student,September 2022,student,degree,638,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638,172,638,172,810
Others,September 2022,student,--Unknown billing code--,124,0,681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,681,124,681,805
Faculty & Researcher,September 2022,affiliate,faculty,69,0,735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,735,69,735,804
Staff,September 2022,affiliate,contractor,0,0,0,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797,0,797,797
Faculty & Researcher,September 2022,affiliate,faculty,364,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796,0,796,0,796
Student,September 2022,student,degree,782,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782,11,782,11,793
Student,September 2022,student,degree,464,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,327,464,327,791
Faculty & Researcher,September 2022,affiliate,faculty,578,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578,213,578,213,791
Faculty & Researcher,September 2022,affiliate,faculty,23,170,158,427,0,0,0,0,0,0,0,1,0,2,0,1,2,193,585,194,587,781
Staff,September 2022,affiliate,administrator,22,0,747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,747,22,747,769
Staff,September 2022,affiliate,contractor,1,9,2,742,0,0,0,0,0,0,0,0,0,0,0,0,0,10,744,10,744,754
Student,September 2022,student,degree,698,0,0,0,0,0,0,0,0,0,44,0,4,0,0,44,4,698,0,742,4,746
Student,September 2022,student,degree,699,0,5,36,0,0,0,0,0,0,0,0,1,0,0,0,1,699,41,699,42,741
Staff,September 2022,affiliate,contractor,0,63,0,672,0,0,0,0,0,0,0,0,0,0,0,0,0,63,672,63,672,735
Faculty & Researcher,September 2022,affiliate,faculty,513,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,213,513,213,726
Faculty & Researcher,September 2022,affiliate,faculty,359,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,338,359,338,697
Faculty & Researcher,September 2022,affiliate,faculty,692,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,692,4,692,4,696
Others,September 2022,affiliate,--Unknown billing code--,683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,0,683,0,683
Staff,September 2022,affiliate,contractor,1,15,25,641,0,0,0,0,0,0,0,0,0,0,0,0,0,16,666,16,666,682
Others,September 2022,affiliate,employee_family_member,669,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,673,1,673,1,674
Student,September 2022,affiliate,student_applicant,325,0,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,343,325,343,668
Faculty & Researcher,September 2022,affiliate,faculty,667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,0,667,0,667
Staff,September 2022,affiliate,administrator,525,0,64,4,0,0,0,0,0,0,43,0,30,0,0,43,30,525,68,568,98,666
Others,September 2022,student,--Unknown billing code--,302,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,355,302,355,657
Faculty & Researcher,September 2022,affiliate,faculty,450,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,203,450,203,653
Student,September 2022,student,degree,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,0,650,0,650
Staff,September 2022,affiliate,ad_contingent,141,28,76,387,0,0,0,0,0,0,0,0,6,0,0,0,6,169,463,169,469,638
Faculty & Researcher,September 2022,affiliate,faculty,118,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,516,118,516,634
Staff,September 2022,affiliate,administrator,190,0,392,0,0,0,0,0,0,0,8,0,31,0,0,8,31,190,392,198,423,621
Staff,September 2022,affiliate,administrator,12,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,600,12,600,612
Faculty & Researcher,September 2022,affiliate,faculty,103,14,0,495,0,0,0,0,0,0,0,0,0,0,0,0,0,117,495,117,495,612
Faculty & Researcher,September 2022,affiliate,faculty,102,502,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,7,604,7,611
Faculty & Researcher,September 2022,affiliate,faculty,25,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601,0,601,0,601
Staff,September 2022,affiliate,administrator,8,0,578,0,0,0,0,0,0,0,0,0,13,0,0,0,13,8,578,8,591,599
Faculty & Researcher,September 2022,affiliate,faculty,575,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,21,575,21,596
Faculty & Researcher,September 2022,affiliate,faculty,354,143,71,28,0,0,0,0,0,0,0,0,0,0,0,0,0,497,99,497,99,596
Student,September 2022,student,degree,415,0,175,0,0,0,0,0,0,0,1,0,3,0,0,1,3,415,175,416,178,594
Faculty & Researcher,September 2022,affiliate,faculty,24,4,322,221,0,0,0,0,0,0,0,0,0,14,0,0,14,28,543,28,557,585
Faculty & Researcher,September 2022,affiliate,faculty,0,0,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579,0,579,579
Faculty & Researcher,September 2022,affiliate,researcher,505,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,66,505,66,571
Faculty & Researcher,September 2022,affiliate,faculty,562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,0,562,0,562
Faculty & Researcher,September 2022,affiliate,faculty,525,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561,0,561,0,561
Faculty & Researcher,September 2022,affiliate,adjunct faculty,264,34,260,1,0,0,0,0,0,0,0,1,0,0,0,1,0,298,261,299,261,560
Faculty & Researcher,September 2022,affiliate,faculty,559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559,0,559,0,559
Faculty & Researcher,September 2022,affiliate,faculty,464,70,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,24,534,24,558
Faculty & Researcher,September 2022,affiliate,faculty,554,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555,0,555,0,555
Others,September 2022,affiliate,employee_family_member,470,0,0,22,0,0,0,0,0,0,50,0,0,13,0,50,13,470,22,520,35,555
Faculty & Researcher,September 2022,affiliate,faculty,195,240,103,15,0,0,0,0,0,0,0,0,0,0,0,0,0,435,118,435,118,553
Student,September 2022,student,degree,283,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,267,283,267,550
Student,September 2022,student,degree,240,0,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,308,240,308,548
Faculty & Researcher,September 2022,affiliate,faculty,130,343,0,25,0,0,0,0,0,0,0,0,0,39,0,0,39,473,25,473,64,537
Faculty & Researcher,September 2022,affiliate,faculty,534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,0,534,0,534
Others,September 2022,student,--Unknown billing code--,497,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,32,497,32,529
Faculty & Researcher,September 2022,affiliate,researcher,138,0,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,382,138,382,520
Student,September 2022,student,degree,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,0,519,0,519
Faculty & Researcher,September 2022,affiliate,faculty,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516,0,516,0,516
Student,September 2022,student,degree,222,0,287,0,0,0,0,0,0,0,0,0,4,0,0,0,4,222,287,222,291,513
Faculty & Researcher,September 2022,affiliate,researcher,476,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,26,476,26,502
Faculty & Researcher,September 2022,affiliate,faculty,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,501,0,501
Faculty & Researcher,September 2022,affiliate,researcher,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,0,497,0,497
Faculty & Researcher,September 2022,affiliate,faculty,233,11,235,10,0,0,0,0,0,0,1,0,3,0,0,1,3,244,245,245,248,493
Faculty & Researcher,September 2022,affiliate,faculty,486,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,0,490,0,490
Student,September 2022,student,degree,479,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,0,482,0,482
Staff,September 2022,affiliate,administrator,60,0,417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,417,60,417,477
Faculty & Researcher,September 2022,affiliate,faculty,462,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,462,14,462,14,476
Student,September 2022,student,degree,226,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,248,226,248,474
Student,September 2022,student,legacy_student,385,0,10,0,0,0,0,0,0,0,0,0,78,0,0,0,78,385,10,385,88,473
Faculty & Researcher,September 2022,affiliate,researcher,206,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,267,206,267,473
Faculty & Researcher,September 2022,affiliate,faculty,469,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,469,2,469,2,471
Faculty & Researcher,September 2022,affiliate,faculty,17,0,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,453,17,453,470
Staff,September 2022,affiliate,contractor,0,170,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,170,298,170,298,468
Faculty & Researcher,September 2022,affiliate,faculty,168,237,55,7,0,0,0,0,0,0,0,0,0,0,0,0,0,405,62,405,62,467
Faculty & Researcher,September 2022,affiliate,faculty,206,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,260,206,260,466
Faculty & Researcher,September 2022,affiliate,faculty,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,0,464,0,464
Student,September 2022,student,degree,463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,0,463,0,463
Staff,September 2022,affiliate,contractor,0,0,0,461,0,0,0,0,0,0,1,0,0,0,0,1,0,0,461,1,461,462
Staff,September 2022,affiliate,ad_contingent,50,236,131,40,0,0,0,0,0,0,0,0,4,0,0,0,4,286,171,286,175,461
Faculty & Researcher,September 2022,affiliate,faculty,431,4,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,435,24,435,24,459
Faculty & Researcher,September 2022,affiliate,faculty,459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459,0,459,0,459
Faculty & Researcher,September 2022,affiliate,faculty,364,0,72,0,0,0,0,0,0,0,22,0,0,0,0,22,0,364,72,386,72,458
Staff,September 2022,affiliate,contractor,20,126,241,48,0,0,0,0,0,0,5,2,9,3,0,7,12,146,289,153,301,454
Faculty & Researcher,September 2022,affiliate,faculty,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,450,0,450
Staff,September 2022,affiliate,contractor,14,10,418,1,0,0,0,0,0,0,0,0,4,0,0,0,4,24,419,24,423,447
Others,September 2022,affiliate,employee_family_member,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,0,446,0,446
Student,September 2022,student,degree,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,0,443,0,443
Faculty & Researcher,September 2022,affiliate,researcher,187,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,256,187,256,443
Student,September 2022,student,degree,134,0,291,0,0,0,0,0,0,0,0,0,18,0,0,0,18,134,291,134,309,443
Student,September 2022,student,degree,319,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,123,319,123,442
Staff,September 2022,student,prospective_employee,248,0,154,0,0,0,0,0,0,0,21,0,18,0,0,21,18,248,154,269,172,441
Faculty & Researcher,September 2022,affiliate,researcher,26,0,414,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,415,26,415,441
Student,September 2022,student,degree,406,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,406,30,406,30,436
Student,September 2022,student,degree,341,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,95,341,95,436
Student,September 2022,student,degree,426,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,9,426,9,435
Staff,September 2022,affiliate,administrator,141,270,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,23,411,23,434
Faculty & Researcher,September 2022,affiliate,faculty,189,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,242,189,242,431
Others,September 2022,student,--Unknown billing code--,333,10,60,24,0,0,0,0,0,0,0,4,0,0,0,4,0,343,84,347,84,431
Student,September 2022,student,degree,51,0,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,377,51,377,428
Faculty & Researcher,September 2022,affiliate,faculty,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,0,427,0,427
Staff,September 2022,affiliate,contractor,424,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,424,0,425,0,425
Faculty & Researcher,September 2022,affiliate,faculty,421,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,2,421,2,423
Student,September 2022,student,degree,209,0,195,0,0,0,0,0,0,0,3,0,13,0,0,3,13,209,195,212,208,420
Student,September 2022,student,degree,418,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,418,1,418,2,420
Faculty & Researcher,September 2022,affiliate,researcher,335,0,58,25,0,0,0,0,0,0,0,0,0,0,0,0,0,335,83,335,83,418
Staff,September 2022,affiliate,administrator,1,0,415,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,416,1,416,417
Staff,September 2022,affiliate,administrator,72,0,281,0,0,0,0,0,0,0,0,0,60,2,0,0,62,72,281,72,343,415
Others,September 2022,student,--Unknown billing code--,411,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,1,411,1,412
Staff,September 2022,affiliate,administrator,241,0,158,13,0,0,0,0,0,0,0,0,0,0,0,0,0,241,171,241,171,412
Student,September 2022,student,degree,213,0,197,0,0,0,0,0,0,0,2,0,0,0,0,2,0,213,197,215,197,412
Student,September 2022,student,degree,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,0,409,0,409
Student,September 2022,student,degree,336,0,58,0,0,0,0,0,0,0,10,0,0,0,0,10,0,336,58,346,58,404
Student,September 2022,student,degree,354,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,49,354,49,403
Staff,September 2022,affiliate,contractor,76,126,145,3,0,0,0,0,0,0,11,0,40,1,0,11,41,202,148,213,189,402
Faculty & Researcher,September 2022,affiliate,faculty,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402,0,402,0,402
Faculty & Researcher,September 2022,affiliate,faculty,387,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,388,2,389,2,391
Staff,September 2022,affiliate,employee_of_vendor,0,158,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,158,230,158,230,388
Student,September 2022,student,degree,320,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,66,320,66,386
Faculty & Researcher,September 2022,affiliate,faculty,204,0,173,0,0,0,0,0,0,0,0,0,4,2,0,0,6,204,173,204,179,383
Faculty & Researcher,September 2022,affiliate,faculty,33,0,299,50,0,0,0,0,0,0,0,0,0,0,0,0,0,33,349,33,349,382
Student,September 2022,student,degree,15,0,282,59,0,0,0,0,0,0,0,23,0,2,0,23,2,15,341,38,343,381
Faculty & Researcher,September 2022,affiliate,faculty,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,0,371,0,371
Student,September 2022,affiliate,degree,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,0,369,0,369
Student,September 2022,student,degree,28,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,341,28,341,369
Faculty & Researcher,September 2022,affiliate,faculty,233,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,136,233,136,369
Faculty & Researcher,September 2022,affiliate,faculty,141,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,227,141,227,368
Faculty & Researcher,September 2022,affiliate,faculty,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,0,367,0,367
Faculty & Researcher,September 2022,affiliate,faculty,217,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,149,217,149,366
Student,September 2022,student,degree,125,0,229,0,0,0,0,0,0,0,0,0,12,0,0,0,12,125,229,125,241,366
Faculty & Researcher,September 2022,affiliate,faculty,176,120,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,296,68,296,68,364
Faculty & Researcher,September 2022,affiliate,faculty,352,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,11,352,11,363
Student,September 2022,student,degree,336,0,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,336,25,336,25,361
Faculty & Researcher,September 2022,affiliate,faculty,189,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,172,189,172,361
Student,September 2022,student,degree,266,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,92,266,92,358
Others,September 2022,affiliate,--Unknown billing code--,217,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,140,217,140,357
Staff,September 2022,affiliate,administrator,36,0,320,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,321,36,321,357
Student,September 2022,student,degree,108,0,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,248,108,248,356
Student,September 2022,student,degree,351,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,4,351,4,355
Staff,September 2022,affiliate,contractor,0,0,0,321,0,0,0,0,0,0,0,0,0,34,0,0,34,0,321,0,355,355
Staff,September 2022,affiliate,contractor,0,0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354,0,354,354
Faculty & Researcher,September 2022,affiliate,researcher,320,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,33,320,33,353
Faculty & Researcher,September 2022,affiliate,faculty,303,0,46,0,0,0,0,0,0,0,1,0,0,0,0,1,0,303,46,304,46,350
Faculty & Researcher,September 2022,affiliate,faculty,275,48,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323,27,323,27,350
Student,September 2022,student,degree,335,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,14,335,14,349
Faculty & Researcher,September 2022,affiliate,researcher,349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,0,349,0,349
Faculty & Researcher,September 2022,affiliate,researcher,344,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,344,0,348,0,348
Faculty & Researcher,September 2022,affiliate,faculty,334,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,1,334,10,334,11,345
Others,September 2022,student,--Unknown billing code--,138,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,207,138,207,345
Student,September 2022,student,degree,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,0,344,0,344
Student,September 2022,student,degree,301,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,41,301,41,342
Student,September 2022,student,degree,334,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334,6,334,6,340
Faculty & Researcher,September 2022,affiliate,faculty,279,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,60,279,60,339
Student,September 2022,student,degree,195,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,144,195,144,339
Staff,September 2022,affiliate,administrator,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,0,337,0,337
Staff,September 2022,affiliate,contractor,0,50,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,50,281,50,281,331
Student,September 2022,student,degree,164,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,166,164,166,330
Staff,September 2022,affiliate,administrator,36,0,290,0,0,0,0,0,0,0,0,1,0,1,0,1,1,36,290,37,291,328
Faculty & Researcher,September 2022,Default cost center,faculty,320,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,324,4,324,4,328
Others,September 2022,affiliate,--Unknown billing code--,74,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,253,74,253,327
Others,September 2022,affiliate,--Unknown billing code--,97,22,33,173,0,0,0,0,0,0,0,0,0,0,0,0,0,119,206,119,206,325
Student,September 2022,student,degree,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,321,0,321
Others,September 2022,affiliate,--Unknown billing code--,161,50,96,12,0,0,0,0,0,0,0,2,0,0,0,2,0,211,108,213,108,321
Faculty & Researcher,September 2022,affiliate,adjunct faculty,307,13,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,320,0,321,0,321
Student,September 2022,student,degree,83,0,235,0,0,0,0,0,0,0,0,0,2,0,0,0,2,83,235,83,237,320
Student,September 2022,affiliate,legacy_student,314,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,314,6,314,6,320
Student,September 2022,student,degree,255,0,62,0,0,0,0,0,0,0,0,0,3,0,0,0,3,255,62,255,65,320
Faculty & Researcher,September 2022,affiliate,researcher,108,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,211,108,211,319
Student,September 2022,student,degree,230,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,88,230,88,318
Student,September 2022,student,degree,80,0,226,11,0,0,0,0,0,0,0,0,0,0,0,0,0,80,237,80,237,317
Student,September 2022,student,degree,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0,317,0,317
Staff,September 2022,affiliate,administrator,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,0,316,0,316
Student,September 2022,student,degree,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,315,0,315
Student,September 2022,student,degree,267,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,46,267,46,313
Faculty & Researcher,September 2022,affiliate,faculty,300,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,13,300,13,313
Staff,September 2022,affiliate,ad_contingent,56,18,165,62,0,0,0,0,0,0,0,0,11,0,0,0,11,74,227,74,238,312
Faculty & Researcher,September 2022,affiliate,faculty,71,0,239,2,0,0,0,0,0,0,0,0,0,0,0,0,0,71,241,71,241,312
Student,September 2022,student,student on leave,90,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,221,90,221,311
Student,September 2022,student,degree,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,311,0,311
Faculty & Researcher,September 2022,affiliate,researcher,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,310,0,310
Student,September 2022,student,degree,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,0,309,0,309
Faculty & Researcher,September 2022,affiliate,faculty,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,306,0,306
Staff,September 2022,affiliate,administrator,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,306,0,306
Staff,September 2022,affiliate,ad_employee_of_vendor,0,217,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,217,88,217,88,305
Student,September 2022,student,student on leave,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,303,0,303
Faculty & Researcher,September 2022,affiliate,faculty,174,67,0,3,0,0,0,0,0,0,0,48,0,10,0,48,10,241,3,289,13,302
Student,September 2022,student,degree,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,0,301,0,301
Faculty & Researcher,September 2022,affiliate,faculty,295,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,6,295,6,301
